TIC,Outbst,Flare,tpeak,e_tpeak,E_tpeak,Amp,e_Amp,E_Amp,FWHMdt,e_FWHMdt,E_FWHMdt,Ebol,e_Ebol,E_Ebol,MCME,e_MCME,E_MCME
5656273,6,2,2458360.570543,0.000416,0.000496,0.00913,0.00182,0.00191,0.00959,0.00192,0.00190,1.2e+33,3.2e+32,3.5e+32,9.4e+19,9.1e+19,1.6e+21
5656273,7,1,2458362.131685,0.000108,0.000115,0.01540,0.00114,0.00126,0.00251,0.00039,0.00043,6e+32,6.9e+31,7.3e+31,8.7e+19,8e+19,1.8e+21
5656273,8,1,2458363.166721,0.000150,0.000154,0.01670,0.00085,0.00087,0.00481,0.00049,0.00053,1.3e+33,1.3e+32,1.5e+32,1.2e+20,1.1e+20,1.2e+21
5656273,9,1,2458364.283911,0.000035,0.000038,0.03563,0.00295,0.00398,0.00172,0.00030,0.00032,9.5e+32,1e+32,1.3e+32,1.1e+20,1e+20,2.6e+21
5656273,9,2,2458364.400700,0.000064,0.000069,0.02214,0.00164,0.00239,0.00244,0.00049,0.00044,7.4e+32,1.1e+32,7.1e+31,3.7e+19,3.2e+19,7.9e+20
5656273,10,1,2458364.844882,0.000409,0.000468,0.00691,0.00090,0.00089,0.00930,0.00362,0.00361,9e+32,3.3e+32,4e+32,9.8e+19,9.2e+19,2e+21
5656273,11,1,2458365.356060,0.000051,0.000050,0.02264,0.00346,0.00554,0.00137,0.00041,0.00046,5.2e+32,6.8e+31,7.9e+31,7.4e+19,6.8e+19,6.8e+20
5656273,12,1,2458366.230394,0.000459,0.000626,0.00550,0.00089,0.00091,0.00853,0.00304,0.00434,7.6e+32,2.7e+32,3.9e+32,7.5e+19,7.1e+19,1.4e+21
5656273,13,1,2458367.131422,0.000059,0.000057,0.02940,0.00105,0.00112,0.00304,0.00029,0.00029,1.5e+33,1.4e+32,9.8e+31,1.6e+20,1.5e+20,4.7e+21
5656273,14,1,2458368.749989,0.000427,0.000495,0.00708,0.00082,0.00086,0.00604,0.00185,0.00255,6.8e+32,2.1e+32,3.2e+32,1.1e+20,1e+20,2.9e+21
5656273,15,1,2458370.083948,0.000238,0.000268,0.00751,0.00087,0.00094,0.00456,0.00106,0.00128,5.5e+32,1.1e+32,1.6e+32,7.7e+19,7e+19,1.9e+21
5656273,16,1,2458370.499720,0.000628,0.000950,0.00581,0.00080,0.00081,0.00790,0.00241,0.00317,6.4e+32,1.7e+32,2.4e+32,7.2e+19,6.8e+19,1.1e+21
5656273,17,1,2458374.183377,0.000049,0.000049,0.04656,0.00120,0.00118,0.00322,0.00018,0.00019,2.3e+33,1.3e+32,1.3e+32,1.5e+20,1.4e+20,2e+21
5656273,17,2,2458374.261678,0.000382,0.000349,0.02087,0.00234,0.00219,0.01757,0.00153,0.00192,4.4e+33,6.8e+32,9e+32,2.2e+20,2.2e+20,4.5e+21
5656273,18,1,2458376.539190,0.000731,0.000879,0.00693,0.00107,0.00103,0.00816,0.00228,0.00310,8e+32,2.9e+32,2.9e+32,7.8e+19,7.2e+19,2e+21
5656273,19,1,2458377.370420,0.000507,0.000605,0.00614,0.00081,0.00083,0.01041,0.00335,0.00460,9.5e+32,2.9e+32,2.9e+32,1e+20,9.4e+19,4e+21
